id_almacen;nombre_almacen;direccion;ciudad;departamento;pais;codigo_postal;latitud;longitud;gerente;telefono;email;capacidad_m2;estado
ALM001;Centro de Distribución Principal;Av. Industrial 123;Manizales;Caldas;Colombia;170001;50.676;-754.964;Carlos Ramírez;5,73168E+11;cramirez@logistica.com;5000;activo
ALM002;Almacén Norte;Calle 65 #45-23;Bogotá;Cundinamarca;Colombia;110231;46.486;-740.823;Ana Martínez;5,7316E+11;amartinez@logistica.com;3500;activo
ALM003;Depósito Occidental;Carrera 100 #16-20;Cali;Valle del Cauca;Colombia;760033;34.516;-765.320;Diego Herrera;5,73165E+11;dherrera@logistica.com;4200;activo
ALM004;Almacén Caribe;Calle 72 #38-10;Barranquilla;Atlántico;Colombia;80001;109.799;-748.013;Laura Cárdenas;5,73159E+11;lcardenas@logistica.com;3800;activo
ALM005;Centro Logístico Sur;Carrera 27 #29-145;Pasto;Nariño;Colombia;520001;12.145;-772.788;Fernando López;5,73165E+11;flopez@logistica.com;2500;activo
ALM006;Bodega Metropolitana;Calle 50 #43-50;Medellín;Antioquia;Colombia;50012;62.443;-755.727;Marcela Duque;5,73168E+11;mduque@logistica.com;4800;activo
ALM007;Almacén Oriental;Carrera 33 #26-15;Bucaramanga;Santander;Colombia;680002;71.072;-731.198;Ricardo Jaimes;5,73169E+11;rjaimes@logistica.com;3200;activo
ALM008;Depósito El Café;Av. Bolívar #21-45;Armenia;Quindío;Colombia;630004;45.388;-756.747;Valentina Ríos;5,73165E+11;vrios@logistica.com;2800;activo
ALM009;Centro de Operaciones Eje;Carrera 12 #15-34;Pereira;Risaralda;Colombia;660003;48.087;-756.906;Javier Méndez;5,73165E+11;jmendez@logistica.com;3100;activo
ALM010;Almacén Costa Pacífica;Calle 7 #12-45;Buenaventura;Valle del Cauca;Colombia;764501;38.816;-770.312;Carolina Hurtado;5,73165E+11;churtado@logistica.com;2200;mantenimiento
